scenario,year,cotton_withdrawal,cotton_scarcity
ssp_ag5_soc1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,22.59837,2.035069736
ssp_ag5_soc1_gwhi_exp_noresm_NDC_Tax_uct,2100,28.2071,2.194848696
ssp_ag5_soc2_gwlo_rs_noresm_NDC_Tax_uct,2100,33.8223,2.423575164
ssp_ag2_soc2_gwmed_exp_gfdl_NDC_Tax_uct,2100,36.3269,2.63671552
ssp_ag2_soc2_gwmed_exp_hadgem_NDC_Tax_ffict,2100,28.483,1.987987811
ssp_ag2_soc2_gwmed_exp_hadgem_NDC_Tax_uct,2100,35.5047,2.406798365
ssp_ag2_soc2_gwmed_exp_ipsl_NDC_Tax_ffict,2100,27.837,2.305033004
ssp_ag2_soc2_gwmed_exp_ipsl_NDC_Tax_uct,2100,36.4681,2.710026499
ssp_ag2_soc2_gwmed_exp_miroc_NDC_Tax_ffict,2100,28.9117,2.118871389
ssp_ag2_soc2_gwmed_exp_miroc_NDC_Tax_uct,2100,36.3864,2.591412122
ssp_ag2_soc2_gwmed_exp_noresm_NDC_Tax_ffict,2100,27.1025,2.005697881
ssp_ag2_soc2_gwmed_exp_noresm_NDC_Tax_uct,2100,34.7762,2.439114808
ssp_ag2_soc2_gwmed_rs_gfdl_NDC_Tax_ffict,2100,28.1826,2.211348939
ssp_ag5_soc2_gwmed_exp_gfdl_NDC_Tax_ffict,2100,27.0447,2.171594254
ssp_ag2_soc2_gwmed_rs_gfdl_NDC_Tax_uct,2100,36.3269,2.629263014
ssp_ag2_soc2_gwmed_rs_hadgem_NDC_Tax_ffict,2100,28.5562,1.990843929
ssp_ag2_soc2_gwmed_rs_hadgem_NDC_Tax_uct,2100,35.4964,2.406304117
ssp_ag2_soc2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,28.0761,2.339541133
ssp_ag2_soc2_gwmed_rs_ipsl_NDC_Tax_uct,2100,36.5179,2.708522596
ssp_ag2_soc2_gwmed_rs_miroc_NDC_Tax_ffict,2100,29.0619,2.120416018
ssp_ag2_soc2_gwmed_rs_miroc_NDC_Tax_uct,2100,36.4923,2.583972478
ssp_ag2_soc2_gwmed_rs_noresm_NDC_Tax_ffict,2100,27.1613,2.005525644
ssp_ag2_soc2_gwmed_rs_noresm_NDC_Tax_uct,2100,34.766,2.436157695
ssp_ag2_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,37.5127,2.533174838
ssp_ag5_soc2_gwmed_exp_gfdl_NDC_Tax_uct,2100,35.8688,2.577550255
ssp_ag2_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,45.8133,2.797675248
ssp_ag2_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,36.4752,2.377468229
ssp_ag2_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,43.49215,2.604824763
ssp_ag2_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,37.383,2.590810829
ssp_ag2_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,45.952,2.863782163
ssp_ag2_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,37.7559,2.490961903
ssp_ag2_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,45.2784,2.755577493
ssp_ag2_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,35.7104,2.285566976
ssp_ag2_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,42.86787,2.624355518
ssp_ag2_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,37.6664,2.527013573
ssp_ag5_soc2_gwmed_exp_hadgem_NDC_Tax_ffict,2100,27.0555,2.002434405
ssp_ag2_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,45.8306,2.791343451
ssp_ag2_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,36.58,2.379139988
ssp_ag2_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,43.48762,2.604493298
ssp_ag2_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,37.6088,2.589722184
ssp_ag2_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,46.109,2.860088282
ssp_ag2_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,37.9686,2.48838949
ssp_ag2_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,45.4583,2.750589356
ssp_ag2_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,35.7936,2.285701911
ssp_ag2_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,42.92025,2.621706052
ssp_ag2_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,37.7651,2.534964848
ssp_ag5_soc2_gwmed_exp_hadgem_NDC_Tax_uct,2100,34.3039,2.404520593
ssp_ag2_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,46.1547,2.799343258
ssp_ag2_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,36.9602,2.261360032
ssp_ag2_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,43.63171,2.603925815
ssp_ag2_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,37.6911,2.592569609
ssp_ag2_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,46.3296,2.865451312
ssp_ag2_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,38.1352,2.487051713
ssp_ag2_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,45.8804,2.755262256
ssp_ag2_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,36.0484,2.282269863
ssp_ag2_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,43.43719,2.623943064
ssp_ag2_soc3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,38.1483,2.529603078
